,x,y,angle
153,2.21965,0.36139,8.465934790159418
154,2.32488,0.2879,7.825154873866755
155,2.44086,0.23215,7.487945544673226
156,2.56395,0.19401,7.216511481526923
157,2.69066,0.17272,6.776316295606989
158,2.81917,0.16817,6.027530049856791
159,2.94743,0.17985,4.801314111013166
160,3.07323,0.20677,2.8654196789153814
161,3.19543,0.24696,0.04104054134869219
162,3.31378,0.29762,-3.1087429942182623
163,3.42923,0.35467,-5.442446681530143
164,3.54434,0.41216,-6.067714243579852
165,3.6628,0.46268,-5.050096607198233
166,3.78561,0.50091,-3.727406654599571
167,3.91208,0.52447,-1.5650673843794627
168,4.04028,0.53699,-1.281283548415035
169,4.16887,0.54167,-2.128281807574351
170,4.29757,0.53973,-1.2860530362287186
171,4.29757,0.53973,-0.6452468388780566
