,x,y,angle
0,3.16866,0.95797,0.02051201282817888
1,3.36416,0.9575,0.010258054904263299
2,3.55965,0.95717,0.00732718906295562
3,3.75514,0.95691,0.005860330192727735
4,3.95063,0.9567,0.005862056586710028
5,4.14611,0.95653,0.004396543660568864
6,4.34159,0.9564,0.004397181631938582
7,4.53707,0.9563,0.005861385275154417
8,4.73256,0.95623,0.0014655151006695165
9,4.92804,0.9562,0.00732757562802344
10,5.12352,0.95618,0.0014652527006189793
11,5.319,0.95621,0.005862210051399908
12,5.51449,0.95625,0.0073267868325908505
13,5.70997,0.95633,0.007326035027379886
14,5.90546,0.95646,0.004394629990334181
15,6.10096,0.95664,-0.011724858988735123
16,6.29647,0.95685,-0.05567308042860596
17,6.492,0.95698,-0.10248817117832786
18,6.68758,0.95673,-0.1403372209163163
19,6.88326,0.95578,0.34527605446294984
20,7.07913,0.95387,1.942067879384351
21,7.27522,0.95432,3.4532199552958827
22,7.4705,0.96804,4.498824934146079
23,7.66216,1.00507,4.9344301627105835
24,7.84524,1.0715,4.8042738122805755
25,8.01445,1.16843,4.732101892011386
26,8.16542,1.29246,4.584757568960866
27,8.29412,1.4398,5.118443598737842
28,8.39758,1.60561,4.574545940733207
29,8.46935,1.78603,3.500581207848898
30,8.51177,1.97638,2.029084659395044
31,8.53075,2.17097,0.3515847008032733
32,8.53596,2.3672,0.547483774160012
33,8.53876,2.56341,0.6266448493563251
34,8.53781,2.75964,1.8361180547159919
35,8.53257,2.95569,3.210290760879331
36,8.51481,3.15056,4.291952164504467
37,8.47549,3.34141,4.795565098390601
38,8.40798,3.52476,4.921232522585576
39,8.31106,3.69388,5.171942395324453
40,8.1865,3.84417,5.057562577704776
41,8.03713,3.9695,4.7645418957459515
42,7.86814,4.0666,4.096676725856226
43,7.68516,4.1345,3.2047392946735975
44,7.49413,4.1757,2.0220260653479283
45,7.29955,4.19534,0.8606626303860847
46,7.10359,4.20124,0.19595114948533993
47,6.90761,4.20125,-0.10371624039877057
48,6.71178,4.19992,-0.0644118155969729
49,6.51615,4.1993,-0.041016723501835946
50,6.32059,4.19912,-0.01025800215494203
51,6.12506,4.19922,-2.5483289581030645e-06
52,5.92955,4.19939,0.007327196051492222
53,5.73406,4.19956,0.0058617587929144415
54,5.53857,4.19968,0.005861310111607528
55,5.34308,4.19976,0.0029312550693018657
56,5.1476,4.1998,0.0058617606336413795
57,4.95211,4.19982,0.002931030210828662
58,4.75663,4.1998,0.004396132802766306
59,4.56115,4.19976,0.005862434346112894
60,4.36566,4.19969,0.004396543798596799
61,4.17018,4.19958,0.005862057062304581
62,3.9747,4.19944,0.010258595409074435
63,3.77922,4.19926,0.02341109429156406
64,3.58374,4.19901,0.0
65,3.38811,4.1986,-179.894445231619
66,3.38811,4.1986,0.02051480015287399
67,3.1927,4.19824,0.0161113616510668
68,2.99726,4.19774,0.12162643604634692
69,2.80179,4.19713,0.48203928120415407
70,2.6063,4.19569,0.3899543969481321
71,2.4108,4.19096,0.9454583591138302
72,2.21508,4.18356,2.594865977073947
73,2.01905,4.16967,4.369044026142016
74,1.82555,4.13816,5.0967546255373
75,1.63991,4.07782,5.313229654991365
76,1.46842,3.98581,5.045815950528291
77,1.31656,3.86357,4.939104121775416
78,1.18829,3.71644,4.857439120944209
79,1.08718,3.54951,4.440296257396098
80,1.01596,3.36846,3.3877631494828027
81,0.97341,3.17815,1.5996095336528742
82,0.95349,2.98341,0.7534523863278835
83,0.94442,2.7872,0.4519555834505866
84,0.94051,2.59073,1.203468441159104
85,0.9397,2.39423,1.7851930276607149
86,0.94714,2.19805,3.3246401667226646
87,0.96674,2.00333,4.190909932734568
88,1.00864,1.81291,4.4493037109474365
89,1.07774,1.631,4.993981693720423
90,1.17467,1.46086,5.133580598578986
91,1.29935,1.31053,5.373394955424957
92,1.44854,1.18512,5.230812990134551
93,1.61828,1.08988,4.328852325912756
94,1.80268,1.02696,2.6011371545548347
95,1.99501,0.99237,1.238351463420985
96,2.19022,0.97529,0.6033853035400075
97,2.38601,0.96666,0.32890827948028617
98,2.5818,0.96216,0.1549965367523417
99,2.77752,0.95991,0.0
100,2.97313,0.95872,-0.21976997847466037
101,2.97313,0.95872,0.041009719164455734
